order_id,customer,product,quantity,price,order_date,total_price
1001,Alice Smith,Widget A,3,9.99,2024-01-15,29.97
1002,Bob Jones,Widget B,2,14.5,2024-01-16,29.0
1005,Eve Turner,Widget B,1,14.5,2024-01-19,14.5
1007,Grace Kim,Widget A,2,9.99,2024-01-21,19.98
1011,Jack Ryan,Widget A,6,9.95,2024-01-25,59.699999999999996
1011,Jack Ryan,Widget A,6,9.99,2024-01-25,59.94
1012,Kara Wolf,Widget C,2,18.75,2024-01-26,37.5
1013,Liam Ng,Widget B,3,14.5,2024-01-27,43.5
1016,Olga Petrova,Widget C,2,18.75,2024-01-30,37.5
1018,Quinn Ortiz,Widget D,3,22.0,2024-02-01,66.0
1019,Sara Lin,Widget A,2,11.0,2024-02-02,22.0
1020,Tom Baker,Widget A,1,15.0,2024-02-03,15.0
